##Task: 2,,,,,,,,,,,,,,,,,,,,,
##Mean Data Sampled at 10Hz,,,,,,,,,,,,,,,,,,,,,
"##Description: Kinematic motion of the arm, Complex",,,,,,,,,,,,,,,,,,,,,
##Duration: 12 seconds,,,,,,,,,,,,,,,,,,,,,
##Tracked Objects: None,,,,,,,,,,,,,,,,,,,,,
##Date: 16/04/2019,,,,,,,,,,,,,,,,,,,,,
##Time: 10:10am,,,,,,,,,,,,,,,,,,,,,
##Temp: 17.1,,,,,,,,,,,,,,,,,,,,,
##Humidity: 47%,,,,,,,,,,,,,,,,,,,,,
Kinova Wrist,,,,,,,Joint Torques,,,,,,Finger Positions,,,Force Torque Sensor,,,,,
x,y,z,w,x,y,z,J1,J2,J3,J4,J5,J6,F1,F2,F3,Fx,Fy,Fz,Mx,Mz,Mz
-0.00484595419003576,0.0801997485690658,0.933834506703075,-0.7441767433197,-0.0133692690210612,0.667752911544595,0.0113079024527413,-0.396749674327762,0.0390820633767806,-0.0905621580424555,-0.17383561744573,0.0154309073492681,-0.00417159186372962,0,4.19047619047619,4.19047619047619,-0.00798669571622175,0.317034669569897,-0.0214281058533535,-0.0018978219844975,-0.00073315386807442,-0.00545505902656334
-0.00483846603877961,0.0802094433150855,0.933832781110499,-0.744203136528759,-0.0133588917835376,0.667723593677084,0.0113141891610241,-0.397236895703111,0.0436752100903756,-0.108889743271793,-0.171240042954218,0.019743585988646,-0.00488158955929658,0,4.28571428571429,4.28571428571429,0.0569014201554168,0.258649900922778,0.0479163709341842,-0.00239133158436954,-0.000469459548589986,-0.00419092425049848
-0.00191439926827457,0.0803065378444256,0.933759056731426,-0.74227795589622,-0.0116744554396584,0.66987070459209,0.0124330661402703,-0.355050674033516,-0.708312400838371,0.196443708761309,-0.0680014593674547,-0.0640607282578222,-0.000203165000706698,0,4.19047619047619,4.19047619047619,0.211683135822463,0.804184746036481,0.0111643050549584,-0.0120642381409432,-0.00444091735488669,-0.00483250264861432
0.0277081036430517,0.082561880894529,0.932079170763361,-0.722391710464644,-0.0166995745888533,0.691187503474872,0.00809692203221555,-0.266755117546937,0.404423887560446,-0.0200280927062902,-0.0261166253467206,-0.0632169580896492,-0.000575207321650524,0,4.14285714285714,4.14285714285714,0.229690594512527,0.367526549310999,0.134226224434442,0.0153661714151463,-0.00570668913941349,-0.00206415955672455
0.0821048075963628,0.0870941379746079,0.926024824285193,0.689618397203762,0.0391335133556844,-0.722925010410376,0.0121527000637453,-0.283571230513714,1.48993939634365,-0.402597830882095,-0.125794877963396,0.0183050161050224,0.00583594104474552,0,4.04761904761905,4.04761904761905,0.237936384487418,0.216283019137493,0.168670802960942,0.016520054056283,0.00450657836796392,-0.000987059787045332
0.14902379314049,0.0922653764305193,0.912640854331644,0.651771353186764,0.0721069204899882,-0.753344193948623,0.0480275634877378,-0.327814844392595,3.10091594098135,-1.05377206348222,-0.195820976462611,0.162467597022906,-0.00807103460205795,0,4.14285714285714,4.14285714285714,0.201327127153925,0.0775004733850779,0.230136650368903,0.00810493089288949,0.00406916747317701,-0.00317803710800922
0.216895323219231,0.0968237575435868,0.891061476519326,0.612759421328067,0.105122735956866,-0.777942928188408,0.0901573812639186,-0.319705942793508,4.25432470866587,-1.62325544016683,-0.300909606237286,0.284627836848063,-0.0130180813853057,0,4.38095238095238,4.38095238095238,0.108054229797916,-0.184188642980629,0.219562788529864,0.00936575517831374,0.0086395544321067,0.00191364158014079
0.274030182680553,0.0990652221541256,0.866481118684488,0.56987114222875,0.129512557156907,-0.800987438953625,0.129520427669789,-0.373804022395413,6.19972820130524,-2.43102438487746,-0.422776843820333,0.437369433660349,-0.0168380938222787,0,4.28571428571429,4.28571428571429,0.359196564901155,0.00266020878938976,-0.298186274533668,-0.0186756595895496,0.0000600819046692601,0.00429346091280133
0.299440038149057,0.0974235915791705,0.854036307337055,0.525182712304772,0.131889315292885,-0.827060527422012,0.15060122266082,-0.30288233265042,5.98767710488984,-2.34467707361508,-0.350960658183159,0.370723199749794,-0.0198509307533849,0,4.21428571428571,4.21428571428571,0.512572560269208,0.187584131334311,-0.163782327473177,-0.0146620421453538,-0.00266869734327248,-0.00195300232305059
0.309120551215277,0.0941014916037236,0.849615752135823,0.483669673644298,0.125033743187451,-0.851067048958441,0.161379926268836,-0.294990279371794,6.14464750744032,-2.44049361017,-0.345594301819833,0.336406256707897,-0.0197902139449964,0,4.19047619047619,4.19047619047619,0.526416219223241,-0.00999272487122711,0.0406721163778603,-0.00547196569383483,0.00537355344246588,-0.000710960757981402
0.315604095943401,0.0897021456694678,0.847110163474571,0.440453932585688,0.115992053574521,-0.874043488543025,0.168864916882283,-0.276543934903417,5.93662120425508,-2.39094723595552,-0.266253184113214,0.284161431685369,-0.0126385465282826,0,4.0952380952381,4.0952380952381,0.594160280008915,-0.0959621718504532,-0.0255008198147158,-0.00068975422858816,0.00650605732396051,0.0000434071017216846
0.321433589667156,0.0844904590528862,0.845120739995215,0.395541576168015,0.105833538650762,-0.895596476487494,0.173723240883603,-0.273592774830175,5.93186337607214,-2.43792550715198,-0.279093928043857,0.246603401407333,-0.0141345015634571,0,4.19047619047619,4.19047619047619,0.675268704923387,-0.158008951867543,0.174560387047427,0.00159760704026073,0.00527564192967564,-0.00110589657598356
